"NUMORD","DIS","ABATT","CC","GGENE","SEXECH","CHGRAS","CHMUSCLE","SEXCGM","G1CGM","G2CGM","M2CGM","DATEFR","SEXE","FRGRAS","FRMUSCLE","GR34VLFR","GR23DCFR","GR34DCFR","GR34DCPAFR","MU23DCFR","MU34DCFR","MU34DCPAFR","FILPIECE","LONPIECE","LONGEX","EPAPIECE","EPAGEX","JAMPIECE","JAMGEX","LONMUGIOS","EPAMUGIOS","JAMMUGIOS","LONPERTPAR","EPAPERTPAR","JAMPERTPAR","TMUS3P","TMP90","TVM","DEN","TMP89"
286,"PAR","C",99.4,"P25","F",13.285,71.75999999999999,"F",17,16,53,08/03/2005 00:00:00,"F",13.335,72.345,15.684999999999999,12.09,13.815000000000001,13.28,61.175,58.09,60.54499999999999,795,8485,2178,6575,1044,12030,1970,6292,5522,10048,15,9,12,81.38067061143984,,,48867.5,
289,"PAR","C",83.3,"P25","F",7.35,72.195,"F",12,10,63,08/03/2005 00:00:00,"F",8.364999999999998,75.255,11.805,6.415,8.9,7.75,68.77999999999999,62.930000000000014,63.815,710,7145,1116,5440,656,11055,1348,6020,4780,9690,9,4,17,87.18685831622176,,,41112.5,
290,"PAR","C",94.5,"P25","M",12.225,71.16499999999999,"M",15,12,58,08/03/2005 00:00:00,"M",11.64,74.105,14.425,10.68,10.84,10.364999999999998,60.199999999999996,59.63499999999999,57.34,740,7380,1642,6640,1116,11645,2264,5724,5526,9372,14,-2,9,80.98087483431168,,,46340,
292,"PAR","C",102.1,"P25","M",17.185000000000002,77.775,"M",20,21,68,08/03/2005 00:00:00,"M",14.91,77.695,19.84,17.46,18.455,18.32,65.755,64.705,67.695,750,7950,2088,6695,1202,13205,2268,5854,5468,10918,8,25,19,80.56643356643356,,,50357.5,
293,"PAR","C",89.5,"P25","F",15.655000000000001,66.52,"F",15,15,60,08/03/2005 00:00:00,"F",16.215,69.73,16.525,11.719999999999999,13.035,13.57,63.25,60.84,60.71999999999999,680,7135,1772,5755,920,11335,2104,5362,4828,9216,1,7,15,80.74282272636017,,,44035,
295,"PAR","C",94.7,"P25","M",11.195,66.72,"M",16,15,61,08/03/2005 00:00:00,"M",10.754999999999999,65.05000000000001,15.16,11.815000000000001,11.975000000000001,11.905000000000001,63.22500000000001,62.65,63.64,690,7900,2006,6215,1076,10590,1914,5886,5134,8656,8,5,20,80.32683599133688,,,46347.5,
296,"PAR","C",95,"P25","F",16.314999999999998,81.46000000000001,"F",14,13,64,08/03/2005 00:00:00,"F",16.979999999999997,80.16,13.280000000000001,10.73,12.355,11.84,68.13,68.985,65.88999999999999,825,8375,1898,5910,878,12325,1880,6476,5014,10430,1,18,15,83.02897758337889,,,47105,
299,"PAR","C",95.8,"P25","F",14.25,63.145,"F",15,14,61,08/03/2005 00:00:00,"F",14.4,64.825,14.88,11.445,11.835,11.35,64.28,63.51,66.725,755,8305,2120,6250,1222,11375,2116,6176,5022,9240,9,6,19,79.54656173880457,,,47135,
300,"PAR","C",97.8,"P25","M",19.86,75.84,"M",27,20,47,08/03/2005 00:00:00,"M",19.880000000000003,76.785,26.14,19.39,19.305,20.285,51.72,49.84000000000001,52.315,630,8355,2938,5975,1332,11995,2930,5414,4636,9050,3,7,15,73.28881469115191,,,48272.5,
302,"PAR","C",94.9,"P0","F",14.73,72.42500000000001,"F",19,15,62,08/03/2005 00:00:00,"F",14.275,73.845,19.564999999999998,13.254999999999999,12.875,12.99,61.879999999999995,62.614999999999995,69.43,785,7850,1998,6035,898,11555,2172,5852,5132,9374,0,5,9,80.67492850333652,,,46695,
304,"PAR","C",93.9,"P25","F",11.315000000000001,77.64,"F",18,14,58,08/03/2005 00:00:00,"F",12.295,75.26,15.235,11.254999999999999,13.43,12.525,64.33,59.71,61.475,790,8140,1752,5995,994,12060,1904,6380,4994,10136,8,7,20,82.76820455808783,,,46170,
306,"PAR","C",94,"P25","M",18.87,63.315,"M",20,18,50,08/03/2005 00:00:00,"M",19.18,64.175,22.86,17.369999999999997,17.275,17.33,52.945,52.1,50.44500000000001,685,8390,2830,5705,1144,10685,2512,5554,4560,8160,6,1,13,74.5297467111722,,,46455,
311,"PAR","C",86.7,"P25","M",13.86,65.315,"M",14,15,57,09/03/2005 00:00:00,"M",12.14,64.7,14.46,11.035,12.865,12.370000000000001,60.995000000000005,63.32,61.04499999999999,675,7025,1688,5730,924,10955,1848,5312,4798,9092,25,8,15,81.71006766454788,,,42895,
314,"PAR","C",99.4,"P25","M",19.225,74.365,"M",16,16,58,09/03/2005 00:00:00,"M",20.71,73.825,16.490000000000002,13.29,14.239999999999998,14.04,63.779999999999994,64.175,62.205000000000005,770,8450,2148,6615,1178,12265,2266,6294,5440,9974,8,-3,25,80.09964412811388,,,48570,
315,"PAR","C",98.1,"P25","F",11.79,81.905,"F",13,11,67,09/03/2005 00:00:00,"F",11.100000000000001,78.58500000000001,12.845,8.585,9.385,8.77,73.96000000000001,72.395,71.76,860,8020,1486,6855,830,12600,1774,6532,5988,10804,2,37,22,85.56555496735486,,,48827.5,
316,"PAR","C",101.5,"P25","M",14.555,77.63,"M",24,17,61,09/03/2005 00:00:00,"M",14.54,80.495,26.695,16.75,17.865000000000002,17.244999999999997,66.50999999999999,68.65,65.685,775,9250,2712,6710,1406,11485,2198,6518,5296,9278,20,8,9,77.61871013465627,,,49522.5,
317,"PAR","C",93.1,"P25","F",10.54,74.95500000000001,"F",15,13,60,09/03/2005 00:00:00,"F",9.3,77.53999999999999,14.719999999999999,9.295,11.57,11.145,71.795,69.225,68.97500000000001,830,8395,1788,6285,1028,11535,1768,6590,5254,9764,17,3,3,83.05047143649473,,,46175,
318,"PAR","C",93,"P25","M",14.375,58.215,"M",19,18,54,09/03/2005 00:00:00,"M",14.690000000000001,58.98,19.064999999999998,15.365,16.86,17.02,60.85,56.92,55.46000000000001,650,8400,2702,6125,1240,10660,1876,5686,4878,8774,12,7,10,77.48016257015676,,,46105,
319,"PAR","C",94,"P25","F",15.67,69.32,"F",18,14,64,09/03/2005 00:00:00,"M",14.645,70.66499999999999,17.15,12.165,12.54,12.235,73.81,66.72999999999999,65.72500000000001,860,8415,2116,6250,960,11615,1940,6278,5286,9664,21,4,11,81.51805453205601,,,45877.5,
320,"PAR","C",91.6,"P25","M",15.165,70.74000000000001,"M",15,17,56,09/03/2005 00:00:00,"M",14.815000000000001,68.04499999999999,16.189999999999998,13.79,15.309999999999999,15.125,63.005,62.595,61.64500000000001,750,7400,1884,6250,1114,11360,2004,5510,5128,9346,6,8,10,80.58229813664596,,,45082.5,
321,"PAR","C",106.4,"P25","F",14.864999999999998,85.205,"F",17,15,73,09/03/2005 00:00:00,"F",15.375,79.62,16.61,12.245000000000001,15.84,15.184999999999999,75.155,67.525,74.645,820,9315,2242,6855,1006,13025,2058,7050,5848,10956,23,1,11,82.32217224720974,,,52040,
322,"PAR","C",90,"P25","F",6.550000000000001,74.83,"F",11,12,56,09/03/2005 00:00:00,"F",7.055,74.775,11.36,9.89,9.635,10.08,66.79,64.475,68.00500000000001,800,7415,1298,5905,672,11050,1250,6106,5226,9790,11,7,10,87.20699245133095,,,44517.5,
323,"PAR","C",108,"P25","F",12.754999999999999,84.22999999999999,"F",17,16,57,09/03/2005 00:00:00,"F",13.075,84.89,14.96,11.42,14.52,13.98,67.53,62.8,64.16499999999999,875,9245,2296,7645,1324,13455,2392,6916,6310,11050,33,11,13,80.7431133888533,,,53060,
326,"PAR","C",99,"P25","M",14.719999999999999,74.935,"M",20,19,61,09/03/2005 00:00:00,"M",14.54,75.83000000000001,19.21,16.52,16.104999999999997,15.665,65.635,68.15,65.565,735,9515,2952,6380,1436,12210,2214,6546,4930,9984,17,14,12,77.10818307905687,,,48887.5,
327,"PAR","C",96.7,"P25","M",11.69,72.655,"M",17,17,59,09/03/2005 00:00:00,"M",12.05,72.545,15.370000000000001,13.309999999999999,15.335,16.33,65.08,65.28,65.25,750,8700,2106,6200,962,12045,1782,6556,5230,10260,38,8,3,82.48781368478065,,,47595,
329,"PAR","C",90.4,"P25","F",10.525,72.75,"F",13,10,63,10/03/2005 00:00:00,"F",9.629999999999999,74.4,11.754999999999999,8.16,8.1,7.635,69.36500000000001,70.79,66.8,700,7690,1428,5860,806,11060,1598,6252,5044,9452,10,10,10,84.85973923350454,,,44557.5,
330,"PAR","C",81.6,"P25","M",14.65,58.93,"M",15,17,61,10/03/2005 00:00:00,"M",13.315000000000001,59.849999999999994,15.815,13.845,14.875,15.05,57.55500000000001,56.81999999999999,54.605000000000004,525,6510,1742,5500,986,9440,1830,4762,4506,7604,6,8,6,79.25824800910125,,,39360,
331,"PAR","C",92.9,"P25","F",14.725,73.25999999999999,"F",16,15,56,10/03/2005 00:00:00,"F",15.015,74.31,14.695,11.129999999999999,12.52,12.350000000000001,63.315,60.500000000000014,59.04500000000001,740,7675,1750,6320,932,11225,1838,5920,5378,9380,5,10,7,82.58859784283513,,,45390,
332,"PAR","C",103.6,"P25","M",19.15,74.525,"M",21,18,60,10/03/2005 00:00:00,"M",18.165,74.88,22.185000000000002,16.865000000000002,16.36,16.905,65.35,64.88,61.245000000000005,840,8900,2506,7000,1392,13320,2840,6382,5602,10468,12,6,12,77.58483033932136,,,50865,
333,"PAR","C",97.6,"P25","F",19.73,76.89,"F",16,14,60,10/03/2005 00:00:00,"F",17.665,77.81,15.620000000000001,10.684999999999999,11.58,11.9,69.27,66.19,64.41999999999999,745,8645,2156,6325,1190,12570,2164,6476,5116,10378,13,19,28,80.51971009368924,,,48452.5,
335,"PAR","C",98.2,"P25","M",13.94,76.28999999999999,"M",19,19,60,10/03/2005 00:00:00,"M",14.61,75.18,19.33,16.47,18.205,17.825000000000003,63.120000000000005,58.39999999999999,59.47,760,8885,2526,6660,1212,11745,2304,6354,5376,9432,5,72,9,78.45989304812834,,,48632.5,
336,"PAR","C",103.1,"P25","F",15.91,83.505,"F",16,13,58,10/03/2005 00:00:00,"F",17.384999999999998,84.62,17.825,11.17,11.52,11.715,66.45,67.44500000000001,66.12,845,9055,2052,6815,998,12970,2028,6994,5810,10934,9,7,8,82.8937173656729,,,50960,
337,"PAR","C",90,"P25","M",14.370000000000001,80.67500000000001,"M",14,14,59,10/03/2005 00:00:00,"M",14.19,81.405,14.469999999999999,11.87,12.254999999999999,12.41,63.805,66.815,65.92500000000001,755,7480,1814,6190,1024,11845,1938,5658,5158,9890,8,8,17,81.81956604491816,,,44147.5,
339,"PAR","C",87.6,"P0","F",12.615,70.78999999999999,"F",13,12,54,10/03/2005 00:00:00,"F",11.985,72.38,14.815,10.125,10.7,10.735,62.504999999999995,58.80999999999999,58.405,675,7800,1954,5820,1012,10740,1872,5838,4802,8860,8,6,8,80.67505492310765,,,43062.5,
340,"PAR","C",91.8,"P0","M",16.705,73.245,"M",19,16,55,10/03/2005 00:00:00,"M",16.75,72.94,20.92,13.04,13.27,13.225000000000001,60.145,61.69500000000001,51.085,725,7065,1940,5930,1114,10955,2150,5122,4812,8792,3,4,13,78.90982776089159,,,44655,
346,"PAR","C",108.3,"P0","F",10.715,72.19,"F",14,13,64,10/03/2005 00:00:00,"F",11.31,69.84,14.9,9.43,11.945,12.379999999999999,68.85999999999999,63.98500000000001,67.11500000000001,880,8710,1916,7495,1194,13530,1986,6790,6288,11520,4,13,24,83.35456475583864,,,52590,
349,"PAR","C",89.7,"P25","M",13.91,66.27000000000001,"M",14,15,57,10/03/2005 00:00:00,"M",14.65,66.64,14.469999999999999,10.87,14.065000000000001,13.44,64.015,59.135000000000005,61.41,770,7420,1818,6040,1058,11470,1796,5596,4974,9658,6,8,16,81.82101167315174,,,44317.5,
350,"PAR","C",85.2,"P25","F",10.239999999999998,78.065,"F",12,11,63,10/03/2005 00:00:00,"F",11.015,76.905,11.190000000000001,7.63,8.78,8.71,66.885,61.66999999999999,59.70999999999999,735,7245,1266,5915,748,10240,1258,5978,5160,8970,1,7,12,86.44292521234722,,,41525,
351,"PAR","K",91.8,"P50","M",16.42,72.115,"M",20,20,53,22/03/2005 00:00:00,"M",15.719999999999999,72.61500000000001,20.23,16.439999999999998,17.439999999999998,17.54,61.95,62.765,60.830000000000005,630,8110,2570,6340,1262,10335,1852,5540,5058,8476,0,20,7,77.63525477080464,,,43927.5,
353,"PAR","K",80.6,"P50","M",16.615,71.405,"M",15,16,54,22/03/2005 00:00:00,"M",15.425,71.71000000000001,17.04,14.809999999999999,17.525,17.284999999999997,57.31999999999999,56.71,56.135000000000005,590,6525,1652,5150,1032,9860,1734,4866,4106,8114,7,12,12,80.0316384180791,,,38420,
354,"PAR","K",72.4,"P50","F",8.07,67.55000000000001,"F",11,13,45,22/03/2005 00:00:00,"F",8.215,68.61500000000001,11.125,7.91,9.705,9.885000000000002,57.295000000000016,53.92,53.834999999999994,645,6155,1210,4885,648,8830,1132,4946,4232,7692,-1,5,6,85.42529856202779,,,34672.5,
355,"PAR","K",89.4,"P50","F",13.504999999999999,71.14,"F",15,10,58,22/03/2005 00:00:00,"F",13.030000000000001,71.045,13.355,8.32,9.05,9.12,64.47999999999999,63.525000000000006,67.6,685,7030,1342,5655,866,11410,1686,5678,4790,9722,10,-1,2,84.28571428571429,,,42530,
356,"PAR","K",86.8,"P50","F",10.65,72.35,"F",13,12,59,22/03/2005 00:00:00,"F",10.79,71.07,11.365,9.1,11.08,11.24,67.30000000000001,63.94500000000001,64.93,705,6455,1140,6095,764,10430,1344,5324,5328,9078,-9,3,8,86.28667933291112,,,41392.5,
357,"PAR","K",82.8,"P50","F",12.535,75.52000000000001,"F",11,13,58,22/03/2005 00:00:00,"F",11.71,75.53,12.19,8.89,10.620000000000001,10.934999999999999,66.135,66.16499999999999,63.625,745,7360,1520,5215,674,10850,1206,5842,4536,9634,-2,5,10,85.93297476210178,,,39465,
359,"PAR","K",95.8,"P50","M",20.545,75.16,"M",20,18,57,22/03/2005 00:00:00,"M",19.63,75.66,18.990000000000002,14.149999999999999,15.600000000000001,16.005,65.52000000000001,62.955000000000005,62.56,645,8350,2352,6140,978,11875,2174,5998,5152,9686,0,10,15,79.62236208811551,,,46332.5,
361,"PAR","K",106.6,"P50","M",11.32,84.065,"M",17,14,60,22/03/2005 00:00:00,"M",12.620000000000001,85.37,18.02,11.614999999999998,12.45,13.204999999999998,69.33,66.095,68.335,895,8595,2072,7090,1340,13240,2024,6508,5796,11214,15,-46,2,81.77062374245473,,,52065,
362,"PAR","K",91.6,"P50","M",16.825,76.2,"M",20,14,61,22/03/2005 00:00:00,"M",16.47,74.995,19.72,15.33,14.285,13.79,65.53500000000001,66.09,60.21999999999999,690,7185,1996,6075,1158,10840,2216,5194,4912,8616,-5,5,8,78.33803953206939,,,44037.5,
364,"PAR","K",83.2,"P50","F",7.74,66.475,"F",12,11,51,22/03/2005 00:00:00,"F",7.725,67.75999999999999,11.815000000000001,8.17,8.185,8.41,60.135000000000005,58.405,56.19499999999999,660,6595,1364,5440,800,10515,1526,5222,4634,8980,9,6,9,84.10168031021112,,,40567.5,
365,"PAR","K",94.8,"P50","M",16.92,68.92,"M",18,15,55,22/03/2005 00:00:00,"M",15.815000000000001,68.13,18.740000000000002,13.219999999999999,14.875,14.844999999999999,59.715,59.30000000000001,56.58500000000001,675,7770,2220,6205,1200,11075,2128,5544,4994,8928,6,11,19,78.43343051506316,,,45747.5,
366,"PAR","K",96.8,"P50","M",23.955,71.84,"M",21,21,62,22/03/2005 00:00:00,"M",24.465,72.815,19.625,18.945,18.13,18.09,67.77000000000001,65.94500000000001,68.13499999999999,695,9185,2848,6000,1180,11635,2188,6356,4814,9432,-19,6,15,77.40868617117935,,,46445,
367,"PAR","K",88.6,"P50","F",12.46,68.445,"F",14,13,60,22/03/2005 00:00:00,"F",11.79,65.26499999999999,13.48,10.055,10.545,10.645,70.4,67.61999999999999,68.28500000000001,745,7475,1624,5705,888,11275,1594,5842,4808,9664,9,9,17,83.7063492063492,,,43280,
368,"PAR","K",91.4,"P50","M",18.17,71.53,"M",16,14,56,22/03/2005 00:00:00,"M",17.16,71.89,14.995000000000001,12.43,12.7,12.29,60.440000000000005,60.56999999999999,62.105,675,7380,1800,5855,942,11975,1722,5578,4906,10246,2,7,7,82.75449101796407,,,44245,
369,"PAR","K",90.8,"P25","M",15.13,69.60499999999999,"M",14,15,60,22/03/2005 00:00:00,"M",14.91,71.10499999999999,12.100000000000001,10.864999999999998,13.43,13.094999999999999,66.615,66.77000000000001,67.255,775,7745,1792,5930,860,11225,1816,5956,5068,9398,-3,2,11,82.59785783836416,,,44352.5,
370,"PAR","K",101.6,"P25","F",17.165,75.905,"F",18,14,63,02/01/1960 11:12:00,"F",16.275,76.095,16.965,11.465,12.89,12.434999999999999,63.91,63.635000000000005,68.06,825,8125,1988,6235,896,13385,2180,6136,5336,11194,1,3,11,82.27511375568778,,,48942.5,
372,"PAR","K",97.6,"P50","M",20.7,73.025,"M",23,19,61,23/03/2005 00:00:00,"M",19.505000000000003,72.61500000000001,24.200000000000003,16.729999999999997,17.854999999999997,17.09,61.285000000000004,64.025,61.785,785,8570,2604,6235,1148,11855,2156,5952,5072,9682,14,15,17,78.4733102568774,,,47377.5,
373,"PAR","K",91.2,"P50","M",19.07,71.525,"M",19,21,55,23/03/2005 00:00:00,"M",18.07,71.85,20.66,18.814999999999998,20.205,20.475,65.07,67,60.79500000000001,710,7375,2216,5750,1096,11620,2142,5124,4638,9464,35,16,14,78.57395403653506,,,44032.5,
375,"PAR","K",96.4,"P50","M",20.795,73.055,"M",23,21,53,23/03/2005 00:00:00,"M",19.92,72.03,22.45,20.72,18.835,19.355,58.155,56.73499999999999,56.489999999999995,740,8450,2688,5900,1062,11370,2266,5750,4828,9092,12,10,12,77.26379440665156,,,46135,
376,"PAR","K",80.8,"P50","F",12.685,71.53999999999999,"F",13,13,50,23/03/2005 00:00:00,"F",11.43,72.69,13.19,9.465,10.879999999999999,10.25,58.11,54.295,53.995000000000005,690,6735,1436,5010,510,10045,1340,5300,4488,8696,-1,12,9,85.38256227758008,,,38775,
377,"PAR","K",89.2,"P50","F",19.490000000000002,70.43,"F",25,20,64,23/03/2005 00:00:00,"F",18.25,68.39,23.23,17.125,17.04,16.585,63.52000000000001,62.945,68.465,740,8495,2752,5310,1150,10735,2554,5724,4150,8160,19,10,21,74.4620253164557,,,43067.5,
378,"PAR","K",92.8,"P50","M",14.635,74.85499999999999,"M",19,16,57,23/03/2005 00:00:00,"M",14.21,74.725,19.225,14.695,14.835,15.129999999999999,59.48500000000001,60.1,57.47500000000001,680,7400,1974,5805,1154,11710,2232,5426,4632,9456,0,19,22,79.05840984567298,,,44997.5,
382,"PAR","K",91.8,"P50","F",9.6,78.065,"F",12,11,61,23/03/2005 00:00:00,"F",8.71,78.8,11.495000000000001,7.715,8.879999999999999,9.100000000000001,70.9,66.46000000000001,66.685,815,7690,1304,6005,784,11705,1416,6356,5210,10260,30,11,29,86.63360671371352,,,44347.5,
383,"PAR","K",97.6,"P50","M",27.08,64.92,"M",20,19,52,23/03/2005 00:00:00,"M",26.35,65.025,19.34,16.259999999999998,20.705,20.645,63.635,64.485,60.59,690,8365,2778,6200,1280,12025,2550,5570,4914,9436,17,6,39,75.77712609970675,,,47605,
386,"PAR","K",85,"P25","M",14.485,65.375,"M",22,17,53,23/03/2005 00:00:00,"M",13.445,65.19,18.965,12.4,13.27,13.11,60.79,61.97500000000001,59.44500000000001,730,6670,1552,5755,984,10720,1760,5092,4758,8950,26,13,10,82.00628272251309,,,41170,
387,"PAR","K",86.8,"P25","F",14.120000000000001,65.28,"F",16,16,54,23/03/2005 00:00:00,"F",12.879999999999999,65.905,16.665,14.04,14.375,16.119999999999997,57.025,58.349999999999994,59.42499999999999,645,7075,1910,5730,1180,10390,2112,5152,4540,8260,13,10,18,78.17953020134229,,,42732.5,
389,"PAR","K",90.4,"P25","F",13.4,68.19,"F",11,11,57,23/03/2005 00:00:00,"F",12.82,71.215,11.085,9.785,9.545000000000002,9.235,61.61500000000001,61.165000000000006,62.739999999999995,785,7665,1530,6325,902,10810,1418,6132,5410,9374,3,13,18,84.95212038303694,,,44292.5,
391,"PAR","K",92.6,"P25","M",15.42,69.645,"M",18,15,60,23/03/2005 00:00:00,"M",14.879999999999999,70.83,17.025,13.36,12.600000000000001,12.535,69.51,65.775,64.95000000000002,755,7635,1806,5665,908,11890,1918,5820,4752,9956,9,5,16,82.14684910387358,,,44620,
392,"PAR","K",90.2,"P25","F",11.149999999999999,71.06,"F",14,15,52,24/03/2005 00:00:00,"F",9.455,72.125,14.77,11.195,13.95,14.02,56.824999999999996,53.16,54.959999999999994,710,6695,1474,6040,890,11105,1512,5216,5144,9586,5,6,7,84.21181262729124,,,43037.5,
394,"PAR","K",90,"P25","M",13.27,68.38,"M",14,14,53,24/03/2005 00:00:00,"M",11.52,70.315,15.18,11.7,12.094999999999999,11.08,61.099999999999994,59.61500000000001,58.290000000000006,700,7630,1904,6195,1080,10355,1608,5728,5106,8742,-2,9,5,81.54340836012862,,,42440,
395,"PAR","K",85.2,"P25","F",14.96,65.85,"F",16,15,54,24/03/2005 00:00:00,"F",15.309999999999999,67.045,16.575,9.765,11.55,12.275,59.99499999999999,56.43000000000001,56.54,670,6365,1534,5670,928,10365,1678,4820,4726,8680,11,16,7,82.05461638491548,,,41027.5,
398,"PAR","K",86.6,"P25","F",8.265,73.16,"F",14,11,57,24/03/2005 00:00:00,"F",7.605,74.08,12.34,8.969999999999999,10.105,9.74,65.39000000000001,62.67999999999999,62.39499999999999,695,7475,1364,5715,726,10540,1380,6090,4984,9142,21,5,18,85.79324462640737,,,41930,
399,"PAR","K",82.8,"P25","M",15.219999999999999,71.985,"M",18,14,55,24/03/2005 00:00:00,"M",14.275,71.095,14.74,12.705,12.54,12.67,54.81,59.96999999999999,54.075,615,6380,1532,5490,922,10315,1638,4832,4558,8660,16,10,17,82.05263157894737,,,39580,
400,"PAR","K",96,"P25","F",14.774999999999999,75.60499999999999,"F",20,15,66,24/03/2005 00:00:00,"F",13.96,76.59,17.92,11.73,12.835,12.99,68.725,65.00999999999999,69.68,765,8665,2066,6260,1124,11230,1904,6584,5126,9316,15,10,10,81.07726597325409,,,46415,
401,"PAR","K",91.8,"P25","M",15.115,69.89,"M",18,15,60,24/03/2005 00:00:00,"M",14.695,69.35499999999999,17.525,12.73,12.9,13.325,61.375,59.73500000000001,58.885000000000005,760,7900,2046,5985,1086,11025,1734,5828,4886,9288,26,13,3,81.04402025710947,,,44472.5,
402,"PAR","K",90.8,"P25","F",16.605,75.69,"F",19,15,51,24/03/2005 00:00:00,"F",15.415,76.34,16.18,12.565000000000001,13.58,13.73,62.67500000000001,63.32000000000001,55.545,705,7725,1922,6100,1048,11185,1838,5792,5056,9324,11,-4,23,81.30274159051137,,,43832.5,
403,"PAR","K",100.4,"P25","M",16.755,79.12,"M",20,18,57,24/03/2005 00:00:00,"M",17.72,80.52,19.455,14.585,15.575,15.16,62.24,62.7,65.98500000000001,735,8245,2198,6520,1286,12640,2246,6040,5242,10382,7,-8,12,79.63752665245202,,,48312.5,
404,"PAR","K",75.4,"P25","F",12.89,66.22999999999999,"F",14,11,56,24/03/2005 00:00:00,"F",11.87,66.28,14.315000000000001,9.375,9.34,8.91,59.455,63.269999999999996,61.140000000000015,615,6125,1256,4760,624,9770,1318,4866,4134,8454,3,2,-2,84.96473906911143,,,36427.5,
406,"PAR","K",82,"P50","M",10.085,73.935,"M",18,14,57,24/03/2005 00:00:00,"M",11.075,74.16,17.845,11.735,13.225,13.6,56.334999999999994,58.79500000000001,53.635,635,6635,1718,5500,1024,9915,1538,4922,4478,8370,-5,-2,7,81.13290720740578,,,38867.5,
407,"PAR","K",100.8,"P50","M",15.045,76.61,"M",15,16,57,24/03/2005 00:00:00,"M",15.030000000000001,77.09,15.21,12.55,14.24,12.65,64.18,60.65,66.61,810,7835,1838,6650,952,12780,1874,5992,5690,10900,5,8,6,83.38735529830811,,,48260,
408,"PAR","K",92.2,"P50","M",11.05,76.72,"M",14,14,53,24/03/2005 00:00:00,"M",11.09,77.945,14.18,10.18,12.49,11.695,57.885,56.355,56.365,880,7195,1638,6095,956,11725,1686,5526,5130,10018,31,9,21,83.47171268584668,,,44065,
409,"PAR","K",103,"P25","M",21.185000000000002,73.99000000000001,"M",20,20,57,24/03/2005 00:00:00,"M",19.7,75.91999999999999,20.42,16.314999999999998,17.805,18.009999999999998,61.879999999999995,63.160000000000004,63.99,765,8625,2752,6590,1276,12490,2418,5868,5308,10058,5,6,14,77.35862311204777,,,49285,
410,"PAR","K",88.2,"P25","M",11.085,74.125,"M",14,11,55,24/03/2005 00:00:00,"M",10.96,71.2,13.965,9.195,10.25,10.489999999999998,59.68999999999999,61.81,57.769999999999996,640,5930,1246,5880,936,11500,1794,4686,4942,9696,-2,2,10,83.39874739039666,,,42547.5,
411,"PAR","K",93.4,"P25","F",12.645,72.765,"F",15,12,55,24/03/2005 00:00:00,"F",13.455,73.49000000000001,15.085,9.15,11.675,10.335,61.01,59.235,58.165,680,7265,1636,6020,1052,11115,1958,5614,4966,9146,15,2,11,81.47527910685805,,,44965,
412,"PAR","K",99,"P25","M",15.66,77.495,"M",16,16,61,25/03/2005 00:00:00,"M",14.435,77.28,16.485,11.965,12.885,12.55,70.9,67.40499999999999,66.265,730,8520,1996,6225,988,12470,1994,6514,5222,10452,10,15,24,82.18643764537484,,,47820,
414,"PAR","K",88.6,"P25","M",18.615000000000002,69.66999999999999,"M",19,15,56,25/03/2005 00:00:00,"M",16.585,69.33,19.41,12.780000000000001,13.86,13.535,62.34,60.31,61.785,660,7480,1948,5660,1062,10775,1876,5510,4592,8884,22,6,15,80.11800610376399,,,42940,
415,"PAR","K",86,"P25","F",19.955,72.095,"F",21,17,53,25/03/2005 00:00:00,"F",18.27,73.175,18.560000000000002,14.14,15.754999999999999,15.63,62.285,57.97500000000001,54.615,700,7300,1996,5505,1206,10615,2026,5290,4290,8566,14,9,23,78.32504145936981,,,41605,
416,"PAR","K",89.4,"P25","F",15.58,70.35,"F",18,14,53,25/03/2005 00:00:00,"F",14.850000000000001,70.57,15.06,13.225,12.875,12.765,59.339999999999996,57.864999999999995,57.45,690,8145,2168,5780,942,10615,1754,5968,4822,8852,9,16,9,80.72136345620294,,,42957.5,
418,"PAR","K",93.2,"P25","M",15.785,80.225,"M",14,14,57,25/03/2005 00:00:00,"M",14.184999999999999,80.36000000000001,14.53,11.260000000000002,12.385,12.27,67.605,60.154999999999994,61.209999999999994,755,7875,1744,6405,882,11440,1378,6112,5514,10048,19,9,14,84.876298394712,,,44725,
421,"PAR","K",93.2,"P25","F",15.77,67.69999999999999,"F",21,17,59,25/03/2005 00:00:00,"F",14.635000000000002,68.54,20.535,15.995000000000001,17.259999999999998,16.86,67.1,66.195,65,655,8190,2354,5965,1100,11175,2070,5828,4854,9098,8,11,7,78.74158168173946,,,44872.5,
422,"PAR","K",94.6,"P50","F",9.515,76.535,"F",12,11,59,05/04/2005 00:00:00,"F",8.455,77.575,9.805,8.07,8.11,7.359999999999999,67.815,64.27,64.815,898,7962,1434,5954,678,12160,1194,6536,5272,10958,-8,4,8,87.74375324386446,,,45154,
426,"PAR","K",89.4,"P50","F",14.55,78.945,"F",14,11,60,05/04/2005 00:00:00,"F",13.379999999999999,78.655,13.86,9.74,11.32,11.085,66.25000000000001,64.14000000000001,66.22999999999999,764,7858,1820,5614,828,11462,1584,6030,4774,9864,8,12,14,83.5317923573819,,,43336,
427,"PAR","K",98.7,"P50","M",16.200000000000003,67.715,"M",16,15,52,05/04/2005 00:00:00,"M",14.715,68.595,16.924999999999997,12.385000000000002,13.285,13.02,58.825,61.870000000000005,60.144999999999996,730,7200,1900,6574,1340,11806,2096,5292,5218,9702,8,16,8,79.71873812238692,,,47115,
